Subject,Gender,Handedness,Age_in_Yrs,PicSeq_Unadj,PicSeq_AgeAdj,CardSort_Unadj,CardSort_AgeAdj,Flanker_Unadj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_Unadj,ReadEng_AgeAdj,PicVocab_Unadj,PicVocab_AgeAdj,ProcSpeed_Unadj,ProcSpeed_AgeAdj,ListSort_Unadj,ListSort_AgeAdj,CogFluidComp_Unadj,CogFluidComp_AgeAdj,CogEarlyComp_Unadj,CogEarlyComp_AgeAdj,CogTotalComp_Unadj,CogTotalComp_AgeAdj,CogCrystalComp_Unadj,CogCrystalComp_AgeAdj
195445,0,-40,26,125.71,121.69,118.76,104.39,108.78,98.3,24,0,18295,125.7272,121.7053,118.1443,114.4258,112.27,97.87,108.06,98.44,116.78,105.87,123.67,114.82,127.42,122.46,123.26,122.72
195647,0,100,35,113.72,110.21,108.83,98.26,101.27,91.81,17,2,17960,110.9,96.54,114.96,104.19,111.04,102.06,100.43,93.3,106.22,96.01,110.1,98.18,110.22,97.51,113.35,100.21
195849,1,80,25,112,105.2,117.17,102.69,107.24,96.4,18,1,19034.5,111.13,98.82,109.72,101.91,105.64,87.9,117.39,108.26,112.97,99.09,112.89,99.05,113.36,101.46,110.66,100.29
195950,1,100,30,109.47,104.62,114.11,103.92,118.42,111.49,8,11,7030,110.8987,96.53827,105.4997,86.61907,106.57,95.29,100.43,93.3,110.01,102.12,113.44,103.8,109.24,95.86,108.46,89.51
196144,0,80,31,112.39,109.02,120.05,110.25,109.29,101.53,16,3,23694,122.9,116.3,109.99,95.43,110.26,100.82,112.89,107.32,114.42,110.01,115.3,106.63,120.15,113.37,117.03,107.9
196346,1,90,27,100.97,89.97,128.4,113.98,118.66,108.15,21,0,14060,106.5689,92.09071,115.4399,110.9818,114.52,101.27,117.39,108.26,119.01,109.01,119.92,109.92,119.02,110.41,111.24,101.53
196750,0,20,26,122.66,117.47,114.05,99.36,131.28,117.07,15,4,11949,106.58,92.1,106.88,96.26,127.11,118.44,100.43,89.14,125.12,116.32,124.98,117,120.75,112.77,107.06,91.77
196851,1,80,28,125.71,121.69,122.18,108.31,116.57,106.52,22,0,28490,110.8799,98.39974,116.217,111.7724,114.52,101.27,130.38,123.73,129.81,122.19,127.31,120.37,131.14,126.39,114.03,107.11
196952,0,100,29,104.91,98.67,112.22,101.95,98.2,88.36,21,0,20659,120.8528,113.4053,124.1364,117.5284,118.67,113.48,108.06,102.63,108.17,99.08,110.28,98.74,120.47,113.86,123.7,119.29
197348,0,100,30,104.95,98.68,116.5,106.36,107.92,99.98,21,0,15859,129.5969,123.7345,126.8255,121.8297,121.22,117.3,104.06,97.6,111.63,104.98,117.02,109.3,128.71,124.65,129.56,127.44
197449,0,95,23,109.02,103.93,97.58,86.5,115.44,108.65,9,10,6040,112.1,98.63,104.94,85.66,94.39,77.15,93.9,84.01,99.45,84.96,106.23,91.4,101.7,83.18,108.76,90.18
197550,0,100,28,98.57,86.78,104.97,90.21,109.37,99.02,9,10,4256,106.48,91.96,110.23,102.87,116.88,104.78,108.06,98.44,106.9,89.47,104.96,85.97,107.06,90.53,108.58,95.48
197651,0,75,31,135.55,134.81,125.34,115.15,131.28,120.14,20,0,18921.5,115.97,105.62,118.08,108.08,120.81,116.82,108.06,102.63,132.73,134.19,139.74,138.6,136.67,133.61,117.77,109.22
198047,0,75,30,110.7,106.3,119.14,109.13,105.26,96.55,23,0,18260,130.57,124.8064,121.103,112.3477,107.8,96.97,121.89,117.24,114.42,109.96,117.02,109.3,129.19,125.2,127.25,124.4
198249,1,55,27,102.25,92.33,107.84,93.31,110.99,100.4,12,7,10035,96.03793,78.10915,111.6102,105.7618,126.95,118.18,104.06,94.33,111.01,95.83,108.14,91.16,106.74,89.88,103.96,86.07
198350,1,65,31,107.69,101.58,118.66,108.56,122.27,114.53,23,0,24671,125.66,119.58,125.55,119.71,120.46,116.32,121.89,117.24,123.11,121.71,124.77,120.05,136.35,133.02,127.05,124.07
198451,1,45,26,102.77,93.17,118.33,103.81,118.28,107.86,18,1,14752,111.28,99.02,115.48,111.03,117.67,105.63,117.39,108.26,117.14,106.27,116.57,104.69,119.66,111.38,113.84,106.71
198653,1,80,23,120.32,114.48,128.42,114.08,124.78,112.77,14,5,11845,120.518,114.5694,110.4944,103.5035,144.47,136.71,117.39,108.26,136.44,133.29,128.42,122.27,138,134.42,116.09,111.46
198855,1,50,26,114.48,108.85,97.15,83.82,96.28,84.48,16,3,14329,121.57,116.25,104.6,91.48,103.83,85.36,104.06,94.33,100.95,79.87,101.39,80.4,106.35,89.27,113.49,106.07
199150,0,95,28,121.82,116.16,106.15,91.49,115.73,105.81,17,2,14848,106.84,92.51,105.18,92.54,100.39,80.97,104.06,94.33,109.75,93.91,114.03,100.71,107.37,91.1,106.23,90.2
199251,0,-90,32,108.93,103.5,121.25,111.22,108.82,101.09,20,0,18716,129.43,123.6,120.59,111.93,116.4,110.4,121.89,117.24,118,115.88,118.14,111.25,131.85,128.84,126.72,123.24
199352,0,90,25,125.71,121.69,121.78,107.82,112.45,101.83,18,1,7834.5,124.1406,119.2465,137.5687,145.1715,138.72,131.89,112.89,103.57,130.47,123.13,134.86,129.53,153.36,153.36,133.61,134.9
199453,1,45,23,111.35,104.06,110.55,95.91,127.95,115.46,21,0,16720,112.25,101.13,119.55,116.44,116.01,103.48,121.89,113.85,122.03,112.69,122.8,113.41,126.58,120.76,116.57,112.24
199655,1,70,32,106.85,100.72,108.49,97.81,102.16,92.66,12,7,8409.5,112.71,99.42,109.03,93.41,107.86,97.16,108.06,102.63,105.72,95.04,106.09,91.19,108.04,93.42,111.06,95.42
199958,1,70,31,121.82,118.72,107.98,97.18,113.42,106.22,11,8,6880,103.27,85.59,121.67,113.19,105.08,93.28,108.06,102.63,112.12,105.92,120.46,114.55,114.39,104.68,112.89,99.16
200008,0,75,30,121.82,118.72,124.39,113.99,114.61,107.58,18,1,19165,127.9707,122.0077,123.7836,116.6181,102.91,90.05,117.39,112.66,119.31,117.38,128.77,126.28,133.75,130.49,127.27,124.51
200109,0,90,32,135.55,134.81,118.69,108.58,124.92,115.97,17,2,5859,117.5935,108.3519,115.0595,104.3425,154.69,149.3,126.18,122.75,144.67,147.53,133.43,131.04,150.05,148.41,116.98,107.64
200210,1,-5,26,122.66,117.47,105.74,90.98,114.03,103.74,17,2,9210,134.8629,129.8786,131.2063,133.1794,109.05,92.66,126.18,118.14,118.17,107.89,124.52,116.12,137.98,134.41,134.34,138.21
200311,1,95,34,107.09,101.04,113.53,103.23,122.4,114.67,16,3,23320.5,150.705,137.996,133.6614,132.3094,89.64,70.51,112.89,107.32,109.12,100.54,125.55,121.6,141.04,139.12,146.89,147.35
200513,1,-50,25,116.13,110.97,120.61,106.75,130.09,116.34,16,3,17761.5,120.1667,114.0478,111.694,105.9245,124.27,114.51,96.99,85.26,122.27,112.81,126.61,118.91,126.71,120.92,116.59,112.28
200614,0,-70,32,107.51,101.54,115.21,105.2,118.42,111.49,15,4,10722,108.88,93.66,114.08,102.78,118.1,112.91,93.9,84.01,111.29,104.15,116.66,108.72,112.93,102.11,111.75,96.92
200917,0,40,23,119.72,113.39,106.28,91.67,95.78,83.96,21,0,34090,123.4622,118.488,117.8552,113.8785,115.83,103.13,133.93,128.24,116.06,104.67,110.34,95.02,126.36,120.09,121.96,120.68
201111,1,60,29,111.46,104.6,98.12,84.72,103.14,91.75,12,7,9185,113.69,103.85,106.93,96.36,110,94.3,117.39,108.26,107.47,90.58,103.79,84.22,108.83,93.76,110.53,100.04
